time	heel	trim	heading	speed
396.781250000000	20.2900000000000	1.88000000000000	260.900000000000	11.6890000000000
396.812500000000	20.6000000000000	2.02000000000000	261.010000000000	11.6890000000000
396.843750000000	20.8100000000000	2.17000000000000	260.990000000000	11.6890000000000
396.875000000000	20.9400000000000	2.31000000000000	260.870000000000	11.7140000000000
396.906250000000	21	2.44000000000000	260.710000000000	11.7140000000000
396.937500000000	21.1700000000000	2.53000000000000	260.520000000000	11.7140000000000
396.968750000000	21.4700000000000	2.56000000000000	260.370000000000	11.6220000000000
397	21.9600000000000	2.57000000000000	260.220000000000	11.6220000000000
397.031250000000	22.5700000000000	2.56000000000000	260.060000000000	11.6220000000000
397.062500000000	23.1800000000000	2.57000000000000	259.930000000000	11.8090000000000
397.093750000000	23.5000000000000	2.56000000000000	259.900000000000	11.8090000000000
397.125000000000	23.6000000000000	2.50000000000000	259.970000000000	11.8090000000000
397.156250000000	23.4700000000000	2.36000000000000	260.120000000000	11.8090000000000
397.187500000000	23.1500000000000	2.14000000000000	260.390000000000	11.7480000000000
397.218750000000	22.8100000000000	1.97000000000000	260.670000000000	11.7480000000000
397.250000000000	22.5300000000000	1.84000000000000	260.990000000000	11.7480000000000
397.281250000000	22.3300000000000	1.73000000000000	261.270000000000	11.8210000000000
397.312500000000	22.1300000000000	1.65000000000000	261.580000000000	11.8210000000000
397.343750000000	21.9200000000000	1.61000000000000	261.830000000000	11.8210000000000
397.375000000000	21.6600000000000	1.59000000000000	262.060000000000	11.9360000000000
397.406250000000	21.2000000000000	1.64000000000000	262.270000000000	11.9360000000000
397.437500000000	20.6600000000000	1.70000000000000	262.460000000000	11.9360000000000
397.468750000000	20.2600000000000	1.74000000000000	262.570000000000	11.8860000000000
397.500000000000	19.9200000000000	1.83000000000000	262.650000000000	11.8860000000000
397.531250000000	19.6600000000000	1.92000000000000	262.720000000000	11.8860000000000
397.562500000000	19.3300000000000	2.05000000000000	262.760000000000	12.0400000000000
397.593750000000	19.0800000000000	2.15000000000000	262.750000000000	12.0400000000000
397.625000000000	18.7900000000000	2.28000000000000	262.700000000000	12.0400000000000
397.656250000000	18.4700000000000	2.42000000000000	262.600000000000	12.0400000000000
397.687500000000	18.0700000000000	2.59000000000000	262.430000000000	11.9890000000000
397.718750000000	17.8300000000000	2.73000000000000	262.230000000000	11.9890000000000
397.750000000000	17.7000000000000	2.85000000000000	262.010000000000	11.9890000000000
397.781250000000	17.6700000000000	2.96000000000000	261.770000000000	11.8620000000000
397.812500000000	17.7100000000000	3.06000000000000	261.450000000000	11.8620000000000
397.843750000000	17.8500000000000	3.12000000000000	261.150000000000	11.8620000000000
397.875000000000	18.0300000000000	3.15000000000000	260.860000000000	11.9960000000000
397.906250000000	18.2000000000000	3.20000000000000	260.620000000000	11.9960000000000
397.937500000000	18.2900000000000	3.28000000000000	260.480000000000	11.9960000000000
397.968750000000	18.2900000000000	3.36000000000000	260.490000000000	12.1980000000000
398	18.2500000000000	3.41000000000000	260.620000000000	12.1980000000000
398.031250000000	18.2400000000000	3.43000000000000	260.820000000000	12.1980000000000
398.062500000000	18.4000000000000	3.40000000000000	261.110000000000	12.1950000000000
398.093750000000	18.5400000000000	3.38000000000000	261.320000000000	12.1950000000000
398.125000000000	18.5700000000000	3.38000000000000	261.500000000000	12.1950000000000
398.156250000000	18.3900000000000	3.44000000000000	261.650000000000	12.1950000000000
398.187500000000	17.9800000000000	3.51000000000000	261.760000000000	12.2860000000000
398.218750000000	17.5700000000000	3.57000000000000	261.770000000000	12.2860000000000
398.250000000000	17.2100000000000	3.62000000000000	261.700000000000	12.2860000000000
398.281250000000	17.0500000000000	3.66000000000000	261.540000000000	12.0780000000000
398.312500000000	17.1800000000000	3.70000000000000	261.250000000000	12.0780000000000
398.343750000000	17.6100000000000	3.71000000000000	260.920000000000	12.0780000000000
398.375000000000	18.2900000000000	3.72000000000000	260.510000000000	12.3980000000000
398.406250000000	19.1100000000000	3.73000000000000	260.040000000000	12.3980000000000
398.437500000000	20.0600000000000	3.73000000000000	259.470000000000	12.3980000000000
398.468750000000	20.7900000000000	3.70000000000000	259.080000000000	12.5190000000000
398.500000000000	21.4000000000000	3.60000000000000	258.800000000000	12.5190000000000
398.531250000000	21.8300000000000	3.43000000000000	258.620000000000	12.5190000000000
398.562500000000	22.1900000000000	3.17000000000000	258.540000000000	12.4510000000000
398.593750000000	22.3600000000000	2.95000000000000	258.590000000000	12.4510000000000
398.625000000000	22.5100000000000	2.77000000000000	258.740000000000	12.4510000000000
398.656250000000	22.6300000000000	2.62000000000000	259.030000000000	12.4510000000000
398.687500000000	22.5700000000000	2.52000000000000	259.490000000000	12.5060000000000
398.718750000000	22.2600000000000	2.46000000000000	259.960000000000	12.5060000000000
398.750000000000	21.8200000000000	2.40000000000000	260.430000000000	12.5060000000000
398.781250000000	21.4100000000000	2.37000000000000	260.850000000000	12.4960000000000
398.812500000000	21	2.42000000000000	261.240000000000	12.4960000000000
398.843750000000	20.6900000000000	2.56000000000000	261.470000000000	12.4960000000000
398.875000000000	20.4700000000000	2.76000000000000	261.630000000000	12.3310000000000
398.906250000000	20.3500000000000	2.94000000000000	261.750000000000	12.3310000000000
398.937500000000	20.4800000000000	3.15000000000000	261.860000000000	12.3310000000000
398.968750000000	20.7400000000000	3.26000000000000	261.970000000000	12.1420000000000
399	21.0700000000000	3.32000000000000	262.080000000000	12.1420000000000
399.031250000000	21.2800000000000	3.33000000000000	262.220000000000	12.1420000000000
399.062500000000	21.2600000000000	3.32000000000000	262.440000000000	12.2220000000000
