Gite Alpha Vvent Pdyn Temp Beta Patm X Y Z L M N
30.0 6.0 10.4 66.7 11.9 40.0 101192 -4.2 -49.8 -51.5 72.5 -63.4 45.3
30.0 3.0 10.6 68.9 12.3 15.0 101191 4.6 -12.4 -5.8 18.6 -1.3 9.0
30.0 3.0 10.5 68.1 12.0 20.0 101190 4.2 -20.2 -13.5 28.6 -12.3 16.2
30.0 3.0 10.5 68.1 12.0 25.0 101190 2.6 -27.9 -21.9 37.7 -27.3 23.9
30.0 3.0 10.5 67.6 11.9 30.0 101190 0.3 -36.7 -32.6 49.2 -43.8 32.9
30.0 3.0 10.4 67.1 11.9 35.0 101189 -0.5 -45.2 -46.5 62.9 -57.2 42.9
30.0 3.0 10.3 65.8 11.9 40.0 101189 -1.8 -54.6 -60.2 78.0 -75.2 53.9
30.0 0.0 10.5 68.6 12.3 15.0 101190 4.9 -15.2 -9.4 22.8 -5.9 13.1
30.0 0.0 10.5 68.5 12.0 20.0 101191 4.7 -22.7 -17.6 31.7 -17.7 20.5
30.0 0.0 10.5 68.3 12.0 25.0 101191 3.5 -31.5 -27.6 42.1 -33.6 29.1
30.0 0.0 10.4 67.5 11.9 30.0 101192 1.0 -40.3 -38.1 53.7 -50.8 38.7
30.0 0.0 10.4 66.4 11.9 35.0 101193 1.3 -48.6 -53.1 67.1 -63.9 49.3
30.0 0.0 10.2 64.9 11.9 40.0 101193 0.2 -57.7 -65.2 81.5 -80.9 59.3
